stage,model,pretrained,modality,run_name,seed,train_samples,validation_samples,test_samples,num_classes,expected_num_classes,checkpoint_exists,checkpoint_epoch,test_completed,all_metrics_finite,unknown_labels_found,prediction_shape_ok,mask_shape_ok,logits_class_count_ok,visualizations_saved,status,message
test,deeplabv3plus_pretrained,1,rgbe,run_01_seed_42,42,,,2000,10,10,1,46,1,1,0,1,1,1,2000,ok,
train,deeplabv3plus_pretrained,1,rgbde,run_01_seed_42,42,30000,2000,,10,10,1,50,,1,0,,,,,ok,
test,deeplabv3plus_pretrained,1,rgbde,run_01_seed_42,42,,,2000,10,10,1,50,1,1,0,1,1,1,2000,ok,
train,segformer,0,rgb,run_01_seed_42,42,30000,2000,,10,10,1,47,,1,0,,,,,ok,
test,segformer,0,rgb,run_01_seed_42,42,,,2000,10,10,1,47,1,1,0,1,1,1,2000,ok,
train,segformer,0,rgbd,run_01_seed_42,42,30000,2000,,10,10,1,47,,1,0,,,,,ok,
test,segformer,0,rgbd,run_01_seed_42,42,,,2000,10,10,1,47,1,1,0,1,1,1,2000,ok,
train,segformer,0,rgbe,run_01_seed_42,42,30000,2000,,10,10,1,49,,1,0,,,,,ok,
test,segformer,0,rgbe,run_01_seed_42,42,,,2000,10,10,1,49,1,1,0,1,1,1,2000,ok,
train,segformer,0,rgbde,run_01_seed_42,42,30000,2000,,10,10,1,50,,1,0,,,,,ok,
test,segformer,0,rgbde,run_01_seed_42,42,,,2000,10,10,1,50,1,1,0,1,1,1,2000,ok,
train,segformer_pretrained,1,rgb,run_01_seed_42,42,30000,2000,,10,10,1,45,,1,0,,,,,ok,
test,segformer_pretrained,1,rgb,run_01_seed_42,42,,,2000,10,10,1,45,1,1,0,1,1,1,2000,ok,
train,segformer_pretrained,1,rgbd,run_01_seed_42,42,30000,2000,,10,10,1,42,,1,0,,,,,ok,
test,segformer_pretrained,1,rgbd,run_01_seed_42,42,,,2000,10,10,1,42,1,1,0,1,1,1,2000,ok,
train,segformer_pretrained,1,rgbe,run_01_seed_42,42,30000,2000,,10,10,1,47,,1,0,,,,,ok,
test,segformer_pretrained,1,rgbe,run_01_seed_42,42,,,2000,10,10,1,47,1,1,0,1,1,1,2000,ok,
train,segformer_pretrained,1,rgbde,run_01_seed_42,42,30000,2000,,10,10,1,46,,1,0,,,,,ok,
test,segformer_pretrained,1,rgbde,run_01_seed_42,42,,,2000,10,10,1,46,1,1,0,1,1,1,2000,ok,
